number,value,datetime_start,datetime_complete,duration,params_input.brightness,params_input.contrast,params_input.hue,params_input.saturation,params_model.backbone.nms_thresh,params_model.roi_heads.detections_per_img,params_model.roi_heads.fg_iou_threshold,params_model.roi_heads.nms,params_model.roi_relation_head.add_gtbox_to_proposal_in_train,params_model.roi_relation_head.batch_size_per_image,params_model.roi_relation_head.context_dropout_rate,params_model.roi_relation_head.num_sample_per_gt_rel,params_model.roi_relation_head.positive_fraction,user_attrs_best_internal_validation_score,user_attrs_checkpoint,user_attrs_evaluation_split,user_attrs_internal_validation_split,user_attrs_metric_k,user_attrs_metric_key,user_attrs_oom,user_attrs_post_training_evaluation_score,user_attrs_trial_dir,state
0,0.8787039728682171,2026-07-23 12:33:50.325260,2026-07-23 12:40:57.860119,0 days 00:07:07.534859,0.11236203565420874,0.2852142919229748,0.04789267873576293,0.18299848545285127,0.0021852986613813824,75,0.5545980821176709,0.27032926425886983,True,128,0.12431868873739667,8,0.35118075652474057,0.852114898989899,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00000/train/best_model_epoch_8.pth,test,val,50,sgdet_mean_recall,False,0.8787039728682171,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00000,COMPLETE
1,0.867220607235142,2026-07-23 12:40:58.130419,2026-07-23 12:48:03.076682,0 days 00:07:04.946263,0.05990213464750792,0.15427033152408348,0.003716033017599818,0.14810364221551062,0.02099292922981179,25,0.559683443290552,0.27276805754484784,False,128,0.2040533728088605,4,0.29057299356000593,0.867739898989899,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00001/train/best_model_epoch_9.pth,test,val,50,sgdet_mean_recall,False,0.867220607235142,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00001,COMPLETE
2,0.817374838501292,2026-07-23 12:48:03.252089,2026-07-23 12:55:05.068765,0 days 00:07:01.816676,0.28184968246925673,0.26844820512829465,0.07374993880184935,0.14947499470277129,0.0015580011008764533,50,0.5685940018467008,0.26582955111868833,False,128,0.23994362910538697,16,0.47028566925383014,0.8529040404040404,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00002/train/best_model_epoch_6.pth,test,val,50,sgdet_mean_recall,False,0.817374838501292,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00002,COMPLETE
3,0.8115051679586562,2026-07-23 12:55:05.243180,2026-07-23 13:02:04.665215,0 days 00:06:59.422035,0.10753971856328177,0.03476071785753891,0.04986385014620463,0.21577585646889838,0.005248851664323326,50,0.5222454226001083,0.35884381260048176,True,64,0.29963567552804826,32,0.38295649028369794,0.8529040404040404,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00003/train/best_model_epoch_2.pth,test,val,50,sgdet_mean_recall,False,0.8115051679586562,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00003,COMPLETE
4,0.856655361757106,2026-07-23 13:02:04.838553,2026-07-23 13:09:10.754494,0 days 00:07:05.915941,0.2722699421778279,0.07478766874466249,0.060444091083443896,0.10259573075890743,0.003146919894620846,25,0.5269429684400776,0.3514130085198188,True,128,0.11529952061011255,32,0.3113012162401524,0.8824179292929293,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00004/train/best_model_epoch_8.pth,test,val,50,sgdet_mean_recall,False,0.856655361757106,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00004,COMPLETE
5,0.8392595284237726,2026-07-23 13:09:10.930624,2026-07-23 13:16:15.517627,0 days 00:07:04.587003,0.1252233009446337,0.06663234314121907,0.027009213712290238,0.0299663418334207,0.11268278306830642,40,0.6131210262072643,0.43157671761017813,False,64,0.15530740843586938,8,0.2180175629374963,0.8849431818181819,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00005/train/best_model_epoch_9.pth,test,val,50,sgdet_mean_recall,False,0.8392595284237726,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00005,COMPLETE
6,0.8608066860465117,2026-07-23 13:16:15.695178,2026-07-23 13:23:19.022406,0 days 00:07:03.327228,0.20164066422176355,0.22848588459861527,0.05825730788894877,0.05940938599809992,0.006314364677119913,40,0.7213070407077529,0.4717353987663131,False,16,0.2568125301158847,24,0.4258104766433075,0.8546401515151515,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00006/train/best_model_epoch_9.pth,test,val,50,sgdet_mean_recall,False,0.8608066860465117,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00006,COMPLETE
7,0.8835650839793282,2026-07-23 13:23:19.196184,2026-07-23 13:30:12.832176,0 days 00:06:53.635992,0.2774080854835688,0.26320180601429427,0.052798723682734326,0.0644854069287889,0.060027476522914014,50,0.6943202840598118,0.4353777024246023,True,32,0.17222335111443132,16,0.4247110761540007,0.9190340909090909,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00007/train/best_model_epoch_7.pth,test,val,50,sgdet_mean_recall,False,0.8835650839793282,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00007,COMPLETE
8,0.8412831072351421,2026-07-23 13:30:13.005660,2026-07-23 13:37:10.138091,0 days 00:06:57.132431,0.001518475153865606,0.048242415425249596,0.055351615815415464,0.13718344734164653,0.026225706588771085,75,0.5784942583111959,0.4992627274716375,False,32,0.24890801116741507,8,0.540553694163356,0.9076704545454546,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00008/train/best_model_epoch_9.pth,test,val,50,sgdet_mean_recall,False,0.8412831072351421,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00008,COMPLETE
9,0.873937338501292,2026-07-23 13:37:10.311830,2026-07-23 13:44:10.548383,0 days 00:07:00.236553,0.058572896339413344,0.2167356345784516,0.0019452773145163071,0.07019309061021395,0.025386721639491378,15,0.5619887377924672,0.57916050452352,False,16,0.3883291866652844,24,0.49789783503089996,0.9076704545454546,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00009/train/best_model_epoch_9.pth,test,val,50,sgdet_mean_recall,False,0.873937338501292,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00009,COMPLETE
10,0.880733204134367,2026-07-23 13:44:10.721515,2026-07-23 13:51:08.740036,0 days 00:06:58.018521,0.29146091009000014,0.1621688297428387,0.07377301720681181,0.02015970686821615,0.0786962538580915,50,0.5935402288245234,0.4844971339087735,True,64,0.20014969986880704,16,0.4212022515000561,0.8980429292929293,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00010/train/best_model_epoch_8.pth,test,val,50,sgdet_mean_recall,False,0.880733204134367,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00010,COMPLETE
11,0.8566012596899224,2026-07-23 13:51:08.914302,2026-07-23 13:58:13.050124,0 days 00:07:04.135822,0.29621472339773347,0.09751373857885781,0.07399229610651568,0.0629475038865118,0.0593881102719873,50,0.5405853450840548,0.36006556485602986,True,64,0.1471606196003467,32,0.5424216781493924,0.8849431818181819,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00011/train/best_model_epoch_9.pth,test,val,50,sgdet_mean_recall,False,0.8566012596899224,/home/gino/projects/samu_test_ws/src/SGG-Benchmark/hyperparameter_optimization/reactpp_optuna_rebalanced1/trials/trial_00011,COMPLETE
